Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
40,0,0,,"Ich liebe dich, Sidney.","Ich liebe dich, COMMON_PLAYERNAME.|(Der Song wird sehr romantisch.)",50,1,0,Wait(50000)
40,0,0,,(Den Song hören.),"(Ihr genießt zusammen die Melodie,|die immer romantischer wird.)",50,0,0,Wait(50000)
50,0,0,,(Die Show genießen.),(Ihr genießt zusammen die Show und|verbringt eine wundervolle Zeit miteinander.),50,0,0,NextSong()
50,0,0,CanMasturbateSidney,(Deine Hand in|ihre Shorts stecken.),"(Als niemand zu dir schaut, steckst du eine Hand in ihre|Shorts und lässt sie vor Schreck zusammenzucken.)",100,0,0,StartMasturbateSidney()
50,0,0,,(Die Umgebung|durchsuchen.),"(Du schaust dich eine Weile um,|findest aber nichts Interessantes.)",50,0,0,Search()
50,0,0,,(Die Show verlassen.),"Willst du gehen, Schatz?|Sollen wir in dein Zimmer zurück?",60,0,0,
60,0,0,,"Ja, gehen wir.",,60,0,0,Leave()
60,0,0,,"Nein, bleiben wir.",Rock on! (Ihr seht zusammen der Show zu.),50,0,0,
100,0,0,,(Mit ihrer|Klitoris spielen.),(Du spielst langsam mit ihrer Klitoris|und ihr Herzschlag wird etwas schneller.),100,0,0,MasturbateSidney(1)
100,0,0,,(Ihre Vagina|befriedigen.),"(Du befriedigst sie liebevoll, während sie|stöhnt und ihr Körper leichte Zuckungen hat.)",100,0,0,MasturbateSidney(2)
100,0,0,,(Ihr eine Pause gönnen.),"(Du behältst deine Hand in ihren Shorts,|tust aber nichts. Sie sieht dich verwirrt an.)",100,0,0,MasturbateSidney(-1)
100,0,0,,(Deine Hand|herausziehen.),"(Sidney wirkt enttäuscht, als du deine Hand entfernst,|aber ihr konzentriert euch bald wieder auf die Show.)",50,-1,1,BackToShow()
110,0,0,!Common_ActorIsOwned,"Ich liebe dich, Sidney.|(Orgasmus herbeiführen.)","(Du wirst schneller, während sie zittert und stöhnt|und einen öffentlichen Orgasmus erlangt.)",120,1,0,OrgasmSidney()
110,0,0,!Common_ActorIsOwned,"Komm, Sklavin.|(Orgasmus herbeiführen.)","(Du wirst schneller, während sie zittert und stöhnt|und einen öffentlichen Orgasmus erlangt.)",120,0,1,OrgasmSidney()
110,0,0,!Common_ActorIsOwned,Ich habe das Sagen.|(Deine Hand wegziehen.),"(Sidney wirkt enttäuscht, als du deine Hand entfernst,|aber ihr konzentriert euch bald wieder auf die Show.)",50,-1,2,BackToShow()
110,0,0,Common_ActorIsOwned,"Ich liebe dich, Sidney.|(Orgasmus herbeiführen.)","(Du wirst schneller, während sie zittert und stöhnt|und einen öffentlichen Orgasmus erlangt.)",120,1,0,OrgasmSidney()
110,0,0,Common_ActorIsOwned,"Komm, meine kleine Nutte.|(Orgasmus herbeiführen.)","(Du wirst schneller, während sie zittert und stöhnt|und einen öffentlichen Orgasmus erlangt.)",120,0,1,OrgasmSidney()
110,0,0,Common_ActorIsOwned,"Macht Spaß, dich zu reizen.|(Deine Hand wegziehen.)","(Sidney wirkt enttäuscht, als du deine Hand entfernst,|aber ihr konzentriert euch bald wieder auf die Show.)",50,-1,2,BackToShow()
120,0,0,,Hoffentlich hat's|dir gefallen.,"Ja, Mann, das war verdammt geil.|(Ihr konzentriert euch beide wieder auf die Show.)",50,0,0,BackToShow()
120,0,0,,Du bist so|eine Nutte.,"(Sie schweigt und wird rot, als ihr euch|beide wieder der Show zuwendet.)",50,-1,1,BackToShow()
120,0,0,,Sowas Versautes hab|ich noch nie gemacht.,"(Sie zeigt dir einen Daumen nach oben,|als ihr euch beide wieder der Show zuwendet.)",50,0,-1,BackToShow()
200,0,0,!Common_ActorIsOwner,"Oh ja, Liebling.|(Sie spielen lassen.)","(Während niemand hinsieht, spielt sie mitten in|der dunklen und vollen Show mit deiner Vagina.)",210,1,0,MasturbatePlayer()
200,0,0,!Common_ActorIsOwner,Nicht hier draußen!|(Sie wegschubsen.),Na schön! Spielverderberin.|(Sie nimmt ihre Hand weg.),50,-2,1,BackToShow()
200,0,0,!Common_ActorIsOwner,Ist das wirklich|eine gute Idee?,(Sie zwinkert dir zu und spielt mitten in der|dunklen und vollen Show mit deiner Vagina.),210,0,-1,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,"Oh ja, Herrin.|(Sie spielen lassen.)","(Während niemand hinsieht, spielt sie mitten in|der dunklen und vollen Show mit deiner Vagina.)",210,1,0,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,Nicht hier draußen!|(Sie wegschubsen.),(Sie zwängt stirnrunzelnd ihre Hand hinein und spielt|in der dunklen und vollen Show mit deiner Vagina.),210,-2,1,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,Ist das wirklich|eine gute Idee?,(Sie zwinkert dir zu und spielt mitten in der|dunklen und vollen Show mit deiner Vagina.),210,0,-1,MasturbatePlayer()
210,0,0,,(Die perverse|Show genießen.),"(Während ihr der Show zuhört,|befriedigt Sidney langsam deine Vagina.)",210,0,0,MasturbatePlayer()
210,0,0,!Common_ActorIsOwner,Das reicht.|(Sie wegschubsen.),"Na gut, Schatz. (Sie nimmt ihre Hand weg|und ihr konzentriert euch wieder auf die Show.)",50,-1,1,BackToShow()
220,0,0,!Common_ActorIsOwner,"Oh, fuck, nicht aufhören.","(Sie führt dich in der dunklen Masse zum Orgasmus,|während du Schreie unterdrückst und Balance hältst.)",230,1,0,OrgasmPlayer()
220,0,0,!Common_ActorIsOwner,"(Auf die Lippen beißen,|um nicht zu schreien.)","(Sie führt dich in der dunklen Masse zum Orgasmus,|während du Schreie unterdrückst und Balance hältst.)",230,1,-1,OrgasmPlayer()
220,0,0,!Common_ActorIsOwner,Stopp! Uns erwischt|sonst jemand.,"Na gut, Schatz. (Sie nimmt ihre Hand weg|und ihr konzentriert euch wieder auf die Show.)",50,-1,1,BackToShow()
220,0,0,Common_ActorIsOwner,"Oh, fuck, nicht aufhören.","Ich allein entscheide, wann du kommst. (Sie nimmt|ihre Hand weg und konzentriert sich auf die Show.)",50,-1,1,BackToShow()
220,0,0,Common_ActorIsOwner,"(Auf die Lippen beißen,|um nicht zu schreien.)","(Sie führt dich in der dunklen Masse zum Orgasmus,|während du Schreie unterdrückst und Balance hältst.)",230,1,-1,OrgasmPlayer()
220,0,0,Common_ActorIsOwner,Stopp! Uns erwischt|sonst jemand.,"(Sie führt dich stirnrunzelnd zum Orgasmus, während|du Schreie unterdrückst und Balance hältst.)",230,0,0,OrgasmPlayer()
230,0,0,,Das war der Wahnsinn.,"Yeah, Mann. (Sie zwinkert dir zu und ihr|konzentriert euch wieder auf die Show.)",50,0,0,BackToShow()
230,0,0,!Common_ActorIsOwner,Das zahl ich dir heim.|(Ihr zuzwinkern.),Mal sehen. (Sie zwinkert dir zu und ihr|konzentriert euch wieder auf die Show.),50,0,1,BackToShow()
230,0,0,Common_ActorIsOwner,"Ich bin Eure|Ficknutte, Herrin.","Yeah, Mann. (Sie zwinkert dir zu und ihr|konzentriert euch wieder auf die Show.)",50,0,-1,BackToShow()
